プラグイン名,配布元,カテゴリ,種別,商品URL,サムネイルURL,評価,取得日時
Flex Reverb,Platone Studio,Reverb,FREE,https://www.pluginboutique.com/product/2-Effects/17-Reverb/17415-Flex-Reverb?a_aid=688228cd487ff,https://banners.pluginboutique.com/de43qain6xuur04vlfmfqlxsxjdi,,2026-06-15T07:09:35.620315+00:00
Delirion,igorski,Chorus,FREE,https://www.pluginboutique.com/product/2-Effects/11-Chorus/17448-Delirion?a_aid=688228cd487ff,https://banners.pluginboutique.com/4lz7x8qskug99oaf7jowzp5ar1ye,,2026-06-15T07:09:35.620315+00:00
Surge XT,Surge XT,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/17453-Surge-XT?a_aid=688228cd487ff,https://banners.pluginboutique.com/yilgt4ym5i1oimmpbtynwgbjdzoj,,2026-06-15T07:09:49.429242+00:00
Free Beatmaker Bundle,Exclusive Bundles+,Free Bundles,FREE,https://www.pluginboutique.com/product/81-Bundles/141-Free-Bundles/17449-Free-Beatmaker-Bundle?a_aid=688228cd487ff,https://banners.pluginboutique.com/eucxr85exuwte0nvbmsgy370c4oo,4.3,2026-06-15T07:10:16.364739+00:00
