プラグイン名,配布元,種別,公開日,記事URL,サムネイルURL,概要,取得日時
The Usual Suspects JADE: a,,FREE,2026-08-03,https://bedroomproducersblog.com/2026/08/03/the-usual-suspects-jade/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/jade.jpg,"JADE from The Usual Suspects is a Roland JD-990 simulator currently in alpha, and it’s available for free. You can download this alpha version from the developers’ Discord channel in AU, VST2, VST3, L...",2026-08-03T15:34:49.104305+00:00
"OMNi (alpha v0.1), a",,FREE,2026-08-03,https://bedroomproducersblog.com/2026/08/03/omni-alpha-daw/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/TomaszGluc-OMNi.jpg,"From developer Tomasz Głuc comes the alpha version OMNi, a free Rust-based DAW. While our favourite plugins may change over time, it’s not uncommon to stick with the same DAW for the entirety of our m...",2026-08-03T15:34:49.104305+00:00
APD Compressor vocal compressor,Shadaloo Audio DSP,FREE,2026-08-02,https://bedroomproducersblog.com/2026/08/02/shadaloo-audio-dsp-releases-apd-compressor-vocal-compressor-for-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/shadaloo-comp.jpg,"Shadaloo Audio DSP has released APD Compressor, a free/pay-what-you-want vocal compressor plugin for macOS and Windows. We recently covered several plugins from Fabio “Shadaloo” Caterino, including th...",2026-08-02T14:21:05.623511+00:00
ZL Spectrum Equalizer,ZL Audio,FREE,2026-08-02,https://bedroomproducersblog.com/2026/08/02/zl-spectrum-equalizer/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/zl-dynamic-eq.jpg,"ZL Audio has released ZL Spectrum Equalizer, a free and open-source dynamic spectrum equalizer plugin for Windows, macOS, and Linux. I already expected something like this coming from ZL Audio at some...",2026-08-02T14:21:05.623511+00:00
Psypan 2 Free,Auburn Sounds,FREE,2026-08-01,https://bedroomproducersblog.com/2026/08/01/auburn-sounds-psypan-2-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/psypan.jpg,"Auburn Sounds has released Psypan 2 Free Edition, a free stereo multi-effect plugin for Windows, macOS, and Linux. We have covered several Auburn Sounds plugins on BPB over the years, including Panage...",2026-08-02T04:19:50.730225+00:00
Nakst’s Altitude hybrid synthesis workstation is now freewar,,FREE,2026-08-01,https://bedroomproducersblog.com/2026/08/01/naksts-altitude-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/nakst-altitude.jpg,"Nakst has made Altitude, an advanced hybrid synthesis workstation for Windows, macOS, and Linux, available as freeware. We have covered several nakst instruments on BPB over the years, including Apric...",2026-08-02T04:19:50.730225+00:00
Pocket Strings by The Crow Hill Company is now FREE,,FREE,2026-07-31,https://bedroomproducersblog.com/2026/07/31/pocket-strings-freebie/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/TheCrowHillCompany-PocketStrings.jpg,"When it comes to free orchestral libraries, we are spoiled for choice. The latest on offer is the free Pocket Strings by The Crow Hill Company. If, like me, you remember when collections like HALion S...",2026-07-31T15:11:21.614929+00:00
AURA Lite,FRCTL Audio,FREE,2026-07-31,https://bedroomproducersblog.com/2026/07/31/frctl-audio-aura-lite/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/aura-lite.jpg,"FRCTL Audio has released AURA Lite, a free ducking reverb plugin for Windows, macOS, and Linux. FRCTL has been on a nice run of free tools lately. We recently covered DLAY Lite, and before that, SWRL ...",2026-07-31T15:11:21.614929+00:00
Ample Guitar M Lite 4,Ample Sound,FREE,2026-07-31,https://bedroomproducersblog.com/2026/07/31/ample-guitar-m-lite-4/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/ample-guitar.jpg,"Ample Sound has released Ample Guitar M Lite 4, a free acoustic guitar virtual instrument for macOS and Windows. Free acoustic guitar plugins are hard to find, and Ample Sound’s free Martin D-41 instr...",2026-08-01T04:17:19.685008+00:00
Harmonic Piano,The Crow Hill Company,FREE,2026-07-30,https://bedroomproducersblog.com/2026/07/30/crow-hill-harmonic-piano/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/TheCrowHillCompany-HarmonicPiano.jpg,"The latest release from the Crow Hill Company is the Harmonic Piano, a free experimental piano instrument that is a part of their Vaults series. The Crow Hill Company isn’t opposed to the unconvention...",2026-07-30T14:58:57.214954+00:00
Drift Ritual,Manu Riga,FREE,2026-07-30,https://bedroomproducersblog.com/2026/07/30/manu-riga-drift-ritual/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/ManuRiga-DriftRitual.jpg,"Drift Ritual is a new synth plugin from Manu Riga, and you can download it for free now. The plugin is available in AU and VST formats for macOS and Windows. The developer calls this plugin an organic...",2026-07-31T15:11:21.614929+00:00
AudioTeleporter,ArnieWaves,FREE,2026-07-29,https://bedroomproducersblog.com/2026/07/29/audioteleporter/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/audioteleporter.jpg,"ArnieWaves has released AudioTeleporter, a DAW plugin for streaming your mix to a remote listener through a browser link. We have covered a few remote collaboration and monitoring tools before, includ...",2026-07-29T15:02:29.128422+00:00
Voyage Voyage,Musical Entropy,FREE,2026-07-29,https://bedroomproducersblog.com/2026/07/29/musical-entropy-voyage-voyage/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/voyage-voyage.jpg,"Musical Entropy has released Voyage Voyage, a free shimmer reverb and drone instrument for macOS, Windows, and Linux. This is another addition to the series of articles where I check out my favorite K...",2026-07-29T15:02:29.128422+00:00
Signature Delay,Greer Studios Presents,FREE,2026-07-29,https://bedroomproducersblog.com/2026/07/29/greer-studios-signature-delay/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/greer-delay.jpg,"Greer Studios Presents has released Signature Delay, a free delay plugin and standalone app for Windows. We have covered a couple of interesting free delay plugins on BPB lately, including FRCTL Audio...",2026-07-29T15:02:29.128422+00:00
"NULLIFY is a new Spotify streaming quality checker plugin,",,FREE,2026-07-28,https://bedroomproducersblog.com/2026/07/28/boomer-hotel-nullify/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/nullify.jpg,"Boomer Hotel has released NULLIFY, a codec audition and null-test plugin that is free with a coupon code until August 31st, 2026. NULLIFY normally costs $19, but you can get it for free at checkout wi...",2026-07-28T15:09:15.425438+00:00
TapeMachine 2,Dusk Audio,FREE,2026-07-28,https://bedroomproducersblog.com/2026/07/28/dusk-audio-tapemachine-2/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/tapemachine.jpg,"Dusk Audio has released TapeMachine 2, a free tape emulation plugin for macOS, Windows, and Linux. We featured Dusk Audio’s original Tape Machine plugin earlier this year, when it arrived alongside 4K...",2026-07-28T15:09:15.425438+00:00
AudioAuditor,,FREE,2026-07-28,https://bedroomproducersblog.com/2026/07/28/audioauditor/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/AudioAuditor.jpg,"It’s always cool to see a free and open-source tool that offers a more comprehensive feature set than some paid alternatives, and that seems to be what we have with AudioAuditor. The desktop and Comma...",2026-07-28T15:09:15.425438+00:00
LOOM,,FREE,2026-07-28,https://bedroomproducersblog.com/2026/07/28/loom-time-stretching/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/loom.jpg,"Remo De Vico has released LOOM, a free browser instrument for extreme time stretching, textures, pads, and drones. Time stretching is a lot of fun. I use it for cinematic sound design all the time, ma...",2026-07-29T04:00:08.543875+00:00
Multiply 2,Acon Digital,FREE,2026-07-28,https://bedroomproducersblog.com/2026/07/28/acon-digital-multiply-2/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/multiply.jpg,"Acon Digital has released Multiply 2, a major update to its free chorus effect plugin for macOS and Windows. Acon Digital shipped the update earlier today, and I checked it out right away. Multiply ha...",2026-07-29T04:00:08.543875+00:00
"Full Bucket Music FB3, a",,FREE,2026-07-27,https://bedroomproducersblog.com/2026/07/27/full-bucket-fb3-coming-soon/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/fb3.jpg,"Full Bucket Music will soon release FB3, a free software emulation of the Kawai K3 hybrid synthesizer from 1986. I first saw the news on Synth Anatomy, run by my good friend Tom, and the first proper ...",2026-07-27T15:34:41.988783+00:00
Jigsaw,Tweakbench,FREE,2026-07-27,https://bedroomproducersblog.com/2026/07/27/tweakbench-jigsaw/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/jigsaw.jpg,"Tweakbench has released Jigsaw, a free pedal board effect plugin for macOS, Windows, Linux, and iOS. This one is not groundbreaking, but it is still a reason to celebrate for me. Tweakbench is an old-...",2026-07-28T03:55:51.036593+00:00
"Jeesonic updates EQ Pro, one of the best",,FREE,2026-07-27,https://bedroomproducersblog.com/2026/07/27/jeesonic-eq-pro-update/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/jeesonic-eq-pro.jpg,"Jeesonic has updated EQ Pro, its free 24-band dynamic equalizer plugin for macOS and Windows, to version 1.2.2. I rarely cover free plugin updates in the news section because we get free updates every...",2026-07-28T03:55:51.036593+00:00
iZotope Japan is giving away VEA for,,FREE,2026-07-26,https://bedroomproducersblog.com/2026/07/26/izotope-japan-vea-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/vea.jpg,"iZotope Japan is giving away VEA, the Voice Enhancement Assistant plugin, for free until July 31st at 23:59 Japan time. The giveaway is part of the Japan-limited iZotope Mix & Master Sale 2026, which ...",2026-07-27T04:31:59.675670+00:00
RealCassette,,FREE,2026-07-26,https://bedroomproducersblog.com/2026/07/26/realcassette-jan-schulten/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/realcassette.jpg,"Jan Schulten has released RealCassette, a free cassette tape effect plugin and standalone app for Windows. Most BPB readers already know that I absolutely love processing sounds with cassette tapes. T...",2026-07-27T04:31:59.675670+00:00
Gneiss,Hvoya Audio,FREE,2026-07-26,https://bedroomproducersblog.com/2026/07/26/hvoya-audio-gneiss/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/gneiss.jpg,"Eugene Yakshin of Hvoya Audio has released Gneiss, a free morphing multistage filter effect plugin for macOS and Windows. As I mentioned before, I am taking a look at some of my favorite KVR Developer...",2026-07-27T04:31:59.675670+00:00
Dystopian Waves makes DroX II Pro,,LIMITED,2026-07-25,https://bedroomproducersblog.com/2026/07/25/dystopian-waves-drox-ii-pro/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/drox2pro.jpg,"Dystopian Waves has made DroX II Pro, its glitch and stutter audio effect, free for a limited time on Gumroad. The Pro version is currently listed as $0+ and 100% off, down from its regular $35 price....",2026-07-26T04:21:56.375691+00:00
Purafied Audio makes Liquid Death Snare,,LIMITED,2026-07-25,https://bedroomproducersblog.com/2026/07/25/purafied-audio-liquid-death-snare/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/liquid-death.jpg,"Purafied Audio has made Liquid Death Snare free again, dropping the price from $38 to $0 for a limited time. I just received an email from Purafied Audio about the offer, and this is definitely a nice...",2026-07-26T04:21:56.375691+00:00
Gliff,,FREE,2026-07-24,https://bedroomproducersblog.com/2026/07/24/gliff-midi-guitar-translator/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/Gliff.jpg,"Gliff is a free guitar-based plugin for macOS and Windows that’s aimed at guitarists and keyboardists alike. So, there are two ways to approach this plugin: one is as a guitarist looking to create cle...",2026-07-24T14:41:03.476422+00:00
free public beta of BUFFR,Matari Audio,FREE,2026-07-24,https://bedroomproducersblog.com/2026/07/24/matari-audio-buffr-beta/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/buffr.jpg,"Matari Audio has released BUFFR, a free public beta of a retrospective audio, system audio, and MIDI capture plugin for macOS, Windows, and Linux. Important note before we get into the details: the pu...",2026-07-24T14:41:03.476422+00:00
Chance,Friendgineer Labs,FREE,2026-07-23,https://bedroomproducersblog.com/2026/07/23/friendgineer-labs-chance/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/chance.jpg,"Friendgineer Labs has released Chance, a free random multi-FX plugin for macOS and Windows. Chance is another 2026 KVR Developer Challenge entry I liked this year. I will take a closer look at a few m...",2026-07-24T04:09:36.073219+00:00
Westwood Instruments relaunches,,FREE,2026-07-23,https://bedroomproducersblog.com/2026/07/23/westwood-instruments-roots-plugins/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/westwood-roots.jpg,"Westwood Instruments has relaunched Roots, its series of free virtual instruments, in the developer’s own plugin format. We have covered the Roots series several times on BPB while the instruments wer...",2026-07-24T04:09:36.073219+00:00
FREE Sucrose harmonic generator,UnplugRed and BlepFX,FREE,2026-07-22,https://bedroomproducersblog.com/2026/07/22/unplugred-blepfx-sucrose/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/sucrose.jpg,"UnplugRed and BlepFX have released Sucrose, a free harmonic and subharmonic generator for macOS, Windows, and Linux. Sucrose was created as an entry for the 2026 KVR Developer Challenge, and I will co...",2026-07-22T14:52:23.516669+00:00
Grungr,cloph-dsp,FREE,2026-07-21,https://bedroomproducersblog.com/2026/07/21/cloph-dsp-grungr/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/grungr.jpg,"cloph-dsp has released Grungr, a free/pay-what-you-want drive pedal emulation for guitar, bass, and anything else that needs more bite. You might remember Pedro Castro from Freeze95, the fun little st...",2026-07-21T14:52:53.316235+00:00
Pleatech Audio offers WorldVerb reverb plugin for,,FREE,2026-07-21,https://bedroomproducersblog.com/2026/07/21/pleatech-audio-worldverb/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/worldverb.jpg,"Pleatech Audio is offering WorldVerb, a creative reverb plugin for Windows, as a free download for BPB readers. Developer Niels posted the offer in the BPB community section and shared a coupon code t...",2026-07-21T14:52:53.316235+00:00
Grizzly,AOFN Audio,FREE,2026-07-21,https://bedroomproducersblog.com/2026/07/21/aofn-grizzly/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/grizzly-aofn.jpg,"AOFN Audio has released Grizzly, a free stereo modulation plugin for macOS and Windows. Grizzly is modeled on the 1979 Gristleizer circuit, the strange little LFO-driven pedal that Chris Carter of Thr...",2026-07-21T14:52:53.316235+00:00
FREE RMS LEVEL LIMITER plugin,Push and Groove,FREE,2026-07-20,https://bedroomproducersblog.com/2026/07/20/push-and-groove-rms-level-limiter/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/rms-limiter.jpg,"Push and Groove has released RMS LEVEL LIMITER, a free stereo dynamics plugin for Windows and macOS. We have featured a couple of Takahiro Oishi’s previous releases on BPB, including the free Filtroni...",2026-07-20T15:00:01.939972+00:00
Silverdaw,,FREE,2026-07-20,https://bedroomproducersblog.com/2026/07/20/silverdaw-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/silverdaw.jpg,"Silverdaw is a free and open-source Windows DAW built for remixing, mashups, and sample-based music production. The developer sent this to me via email, and I wasn’t expecting a lot (new free DAWs are...",2026-07-20T15:00:01.939972+00:00
PartialString,Different Instruments,FREE,2026-07-20,https://bedroomproducersblog.com/2026/07/20/different-instruments-partialstring/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/DifferentInstruments-PartialString.jpg,"Different Instruments has released PartialString, a free cross-platform synth that takes a less traditional approach to physical modeling. PartialString is available in AU and VST3 formats for macOS (...",2026-07-20T15:00:01.939972+00:00
EightyTen,Morphoice,FREE,2026-07-17,https://bedroomproducersblog.com/2026/07/17/morphoice-eightyten/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/Morphoice-EightyTen.jpg,"Developer Morphoice has released EightyTen, consisting of two vintage Roland synths in one (free beta). Morphoice is back with another vintage synth emulation, and we all know the drill by now. In a r...",2026-07-18T03:50:16.201226+00:00
CURVA,Sugoi Audio,FREE,2026-07-16,https://bedroomproducersblog.com/2026/07/16/sugoi-audio-curva/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/SugoiAudio-CURVA.jpg,"From Sugoi Audio comes CURVA, a free football-inspired modulation plugin for macOS and Windows. There have been times over the years when I’ve felt like the best thing for the track I’m working on was...",2026-07-16T14:50:59.551839+00:00
UJAM and Rhodes offer UFX LOFI plugin for FREE,,FREE,2026-07-15,https://bedroomproducersblog.com/2026/07/15/ujam-rhodes-ufx-lofi/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/ufx-lofi.jpg,"UJAM and Rhodes are offering UFX LOFI, UJAM’s retro degradation effect plugin, as a free download for newsletter subscribers. This is a separate Rhodes/UJAM giveaway page, and the process was a bit sm...",2026-07-16T03:56:52.592500+00:00
Get Rhodes V-Rack for,,FREE,2026-07-15,https://bedroomproducersblog.com/2026/07/15/ujam-rhodes-v-rack/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/rhodes-v-rack.jpg,"UJAM is giving newsletter subscribers a free copy of Rhodes V-Rack, but there are a few hoops to jump through. The offer is available until July 19, so I’m posting this one literally minutes after get...",2026-07-16T03:56:52.592500+00:00
Reyes Amplifonics recreates the Harmony H303 tube amp with t,,FREE,2026-07-15,https://bedroomproducersblog.com/2026/07/15/reyes-amplifonics-h303/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/ReyesAmplifonics-TriodeReyes303KillFilter.jpg,"Developer Reyes Amplifonics has recreated the Harmony H303 tube amp with three new plugins (two of which are freebies). Reyes Amplifonics’ three new plugins include Triode, Reyes 303, and Kill Filter....",2026-07-16T03:56:52.592500+00:00
Venn Audio updates its,,FREE,2026-07-15,https://bedroomproducersblog.com/2026/07/15/venn-audio-update/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/free-gate.jpg,"Developer Venn Audio has updated Free Suite, its free essential mixing suite to version 1.5, adding four new plugins. You might remember we covered Venn Audio’s Free Suite a few years ago – a collecti...",2026-07-16T03:56:52.592500+00:00
two FREE macOS mastering plugins,MUEDsp,FREE,2026-07-14,https://bedroomproducersblog.com/2026/07/14/muedsp-free-mastering-plugins/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/muedsat.jpg,"Developer MUEDsp has released two free macOS plugins, MUEDsat and MUEDlim. Both plugins are taken from MUEDsp masterchain, a mastering suite that is currently in development. According to the develope...",2026-07-15T03:53:51.685599+00:00
FREE open beta of asymmetric reverb plugin,OBLIK Audio,FREE,2026-07-14,https://bedroomproducersblog.com/2026/07/14/oblik-audio-reverb/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/oblik-reverb.jpg,"OBLIK Audio has released Oblik, a free open beta reverb plugin for Windows. What I appreciate right away is that “oblik” means shape in my language, too. Not everyone will catch the wordplay, probably...",2026-07-15T03:53:51.685599+00:00
UJAM offers UFX DELAY plugin as a,,FREE,2026-07-13,https://bedroomproducersblog.com/2026/07/13/ujam-ufx-delay-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/ufx-delay.jpg,"UJAM is offering UFX DELAY as a free download for anyone who signs up for the company’s summer sale mailing list. To get it for free, you’ll need to visit the signup page and enter your email. I teste...",2026-07-13T15:37:07.100818+00:00
Eldoraudio launches Guitar Audio to MIDI Converter for turni,,FREE,2026-07-13,https://bedroomproducersblog.com/2026/07/13/eldoraudio-guitar-midi-converter/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/guitar-midi-1.jpg,"Eldoraudio has launched Guitar Audio to MIDI Converter, a browser-based tool that transcribes guitar recordings into standard MIDI files. The new guitar converter joins Eldoraudio’s existing Piano Aud...",2026-07-13T15:37:07.100818+00:00
FREE Double Freak frequency follower plugin,Bjango,FREE,2026-07-13,https://bedroomproducersblog.com/2026/07/13/bjango-double-freak/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/bjango-fouble.jpg,"Bjango has released Double Freak, a free dual oscillator frequency follower plugin for macOS and Windows. Double Freak is one of the several entries I really liked in this year’s KVR Developer Challen...",2026-07-14T03:52:30.237195+00:00
HoRNet Spikes transient shaper plugin,,LIMITED,2026-07-13,https://bedroomproducersblog.com/2026/07/13/hornet-spikes-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/hornet-spikes.jpg,"HoRNet Plugins is offering HoRNet Spikes, a transient shaper/processor for macOS and Windows, as a free download for a limited time. The offer ends on July 16, 2026. To get Spikes for free, add them t...",2026-07-14T03:52:30.237195+00:00
five FREE plugins,XNULLX,FREE,2026-07-12,https://bedroomproducersblog.com/2026/07/12/xnullx/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/xnullx.jpg,"Developer XNULLX has released five free donationware plugins covering granular processing, saturation, wavefolding, spectral smear, and beat slicing. I will be honest right away. I like the tools them...",2026-07-13T04:25:48.623508+00:00
Spread,Angelic Vibes,FREE,2026-07-11,https://bedroomproducersblog.com/2026/07/11/angelic-vibes-spread/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/angelicvibes-spread.jpg,"Developer Angelic Vibes has released Spread, a free stereo widening plugin for macOS and Windows. Spread is the second installment in the developer’s AV Essentials FX series (which I think also includ...",2026-07-11T14:16:08.187967+00:00
Schulz Audio offers Portacrunch 424 cassette gain-stage plug,,FREE,2026-07-11,https://bedroomproducersblog.com/2026/07/11/schulz-audio-portacrunch-424/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/portacrunch.jpg,"Developer Schulz Audio is offering Portacrunch 424, a cassette four-track gain-stage effect for macOS and Windows, as a free download. There’s no expiry date listed on the Portacrunch 424 product page...",2026-07-11T14:16:08.187967+00:00
3D Panner,Almudio,FREE,2026-07-10,https://bedroomproducersblog.com/2026/07/10/almudio-3d-panner/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/3dpanner.jpg,"Almudio has released 3D Panner, a free early access spatial audio plugin for macOS and Windows. Developer Almog reached out about the release and shared some very interesting details about the project...",2026-07-10T15:24:35.410187+00:00
FREE FX plugins aplenty with the KVR Developer Challenge 202,,FREE,2026-07-10,https://bedroomproducersblog.com/2026/07/10/fx-kvrdc26/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/KVRDeveloperChallenge26-FXPlugins.jpg,The KVR Developer Challenge 26 not only provides a platform for existing and aspiring developers to showcase their creativity but also offers us an opportunity to stock up on new tools that enhance ou...,2026-07-11T04:08:22.925265+00:00
Check out some,,FREE,2026-07-09,https://bedroomproducersblog.com/2026/07/09/check-out-some-free-synths-from-the-kvr-developer-challenge-2026/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/KVRDeveloperChallenge26-FreeSynths.jpg,"The KVR Developer Challenge 2026 is underway, and with over 50 freebies on offer, we’ve got lots to choose from. We’re taking a quick look at some of the synths from this year’s contest, and it’s a pr...",2026-07-09T15:49:52.882116+00:00
NoizLabs offers the Beheader clipper plugin,,LIMITED,2026-07-09,https://bedroomproducersblog.com/2026/07/09/noizlabs-beheader-clipper/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/beheader.jpg,"NoizLabs has released Beheader, a free-for-a-limited-time clipper and saturation plugin for macOS and Windows. Beheader is a surgical clipper with a simple interface. Like any clipper, instead of pull...",2026-07-09T15:49:52.882116+00:00
TheBus,Analog Obsession,FREE,2026-07-08,https://bedroomproducersblog.com/2026/07/08/analog-obsession-thebus/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/thebus.jpg,"Analog Obsession has released TheBus, a free analog-style compressor plugin for macOS and Windows. Coming from one of my favorite indie developers, I was super excited to test this one. Analog Obsessi...",2026-07-08T15:06:00.875111+00:00
Get 50+,,FREE,2026-07-08,https://bedroomproducersblog.com/2026/07/08/kvr-developer-challenge-26/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/KVR-DeveloperChallenge26.jpg,"KVR is celebrating 20 years of its Developer Challenge, as Developer Challenge 26 gets underway! For anyone new to the annual Developer Challenge, it’s a chance for developers to showcase their creati...",2026-07-08T15:06:00.875111+00:00
Next OXX,Nextlight,FREE,2026-07-08,https://bedroomproducersblog.com/2026/07/08/nextlight-next-oxx/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/Nextlight-NextOXX.jpg,"Developer Nextlight has released Next OXX, a free OTT-style multi-band compressor plugin for Windows. It’s been almost two decades since the original OTT Multiband Dynamics preset came on the scene wi...",2026-07-08T15:06:00.875111+00:00
LowCutPolice,OTODESK,FREE,2026-07-07,https://bedroomproducersblog.com/2026/07/07/otodesk-lowcutpolice/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/lowcut-police.jpg,"OTODESK has released LowCutPolice, a free and open-source equalizer plugin for Windows. The repository name is HighPrecisionEQ, which I think gives you a better idea of what the plugin is actually doi...",2026-07-07T15:38:09.077591+00:00
18 FREE Airwindows plugins with custom GUIs,Air-G Audio,FREE,2026-07-07,https://bedroomproducersblog.com/2026/07/07/air-g-plugins-collection/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/airwindows-g.jpg,"Air-G Audio has released Air-G Plugins Collection, a free/pay-what-you-want bundle of 18 audio plugins built on open-source DSP algorithms from Airwindows. Airwindows plugins have been around for a lo...",2026-07-07T15:38:09.077591+00:00
WOMB intro,510k Arts,FREE,2026-07-07,https://bedroomproducersblog.com/2026/07/07/510k-arts-womb-intro/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/womb.jpg,"510k Arts has released WOMB intro, a free 909-inspired bass drum synthesizer plugin for macOS and Windows. 510k is built by Alexkid, a producer and DJ with decades of experience, releases on F Communi...",2026-07-08T15:06:00.875111+00:00
CRB Uranus 1 VST,,FREE,2026-07-06,https://bedroomproducersblog.com/2026/07/06/crb-uranus-1-vst/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/CRBUranus1VST.jpg,"CRB Uranus 1 VST is a free emulation of a rare 1970s Italian synth for Windows. We’re used to emulations of vintage synths, like EightyEight by Morphoice, a free Roland Jupiter-8 emulation. And we get...",2026-07-06T16:15:00.962972+00:00
Drive in my head,Rust Romance,FREE,2026-07-06,https://bedroomproducersblog.com/2026/07/06/rust-romance-drive-in-my-head/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/driveinmyhead.jpg,"Developer Rust Romance has released Drive in my head, a free saturation plugin for Windows and macOS. Drive in my head is a physically modeled op-amp line-driver plugin. The developer says it is not d...",2026-07-06T16:15:00.962972+00:00
Lumen,Pixelsncodes,FREE,2026-07-06,https://bedroomproducersblog.com/2026/07/06/pixelsncodes-releases-lumen-a-free-open-source-windows-synth-that-turns-images-into-sound/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/Pixelsncodes-Lumen.jpg,"Developer Pixelsncodes has released Lumen, a free Windows-only open-source synth that turns images into sound. Lumen is a free and open-source wavetable synth that turns images into sound. Pixelsncode...",2026-07-07T04:44:44.884107+00:00
The Clap,Low End Candy,FREE,2026-07-03,https://bedroomproducersblog.com/2026/07/03/low-end-candy-clap/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/theclap.jpg,"Low End Candy has released The Clap, a free crowd-clap synthesizer for macOS. The interesting part here is that The Clap does not use samples. It synthesizes handclaps from scratch by modeling everyth...",2026-07-03T14:59:50.951839+00:00
Shatter Clip,Golden DSP,FREE,2026-07-03,https://bedroomproducersblog.com/2026/07/03/golden-dsp-shatter-clip/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/shatter.jpg,"Golden DSP has released Shatter Clip, a free clipper plugin for macOS and Windows. If there is one type of plugin I have seen dozens and dozens of over the past several years, it has to be the clipper...",2026-07-03T14:59:50.951839+00:00
FAULTLINE,X-Audio,FREE,2026-07-03,https://bedroomproducersblog.com/2026/07/03/x-audio-faultline/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/faultline.jpg,"X-Audio has released FAULTLINE, a free glitch, beat-repeat, freeze, and bitcrush effect for macOS and Windows. The old DBlue Glitch was one of the first plugins I used when I started making music, and...",2026-07-03T14:59:50.951839+00:00
VRAC: turn any sample into a drum kit,Beatsurfing,FREE,2026-07-03,https://bedroomproducersblog.com/2026/07/03/beatsurfing-vrac/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/Beatsurfing-VRAC.jpg,"VRAC is a free plugin from Beatsurfing that allows you to Drumify any sample/sound. You can take any sound, whether it’s originally percussive or not, and turn it into a punchy percussive hit. VRAC is...",2026-07-04T04:29:44.968400+00:00
