プラグイン名,配布元,カテゴリ,種別,商品URL,サムネイルURL,評価,取得日時
Squash,Minimal Audio,Compressor,FREE,https://www.pluginboutique.com/product/2-Effects/8-Compressor/14398-Squash?a_aid=688228cd487ff,https://banners.pluginboutique.com/yypq8j4bi8mbbrrqampen0q5lwf5,4.3,2026-08-17T02:52:25.370899+00:00
Tonespace,Mucoder,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/1854-Tonespace?a_aid=688228cd487ff,https://banners.pluginboutique.com/35n8il88i9qaeurmqqwxs7phbpxp,4.2,2026-08-17T02:52:58.230073+00:00
7 Step Guide to Prepare your Mix for Mastering by Sara Carter - Free eBook,Music Mix Pro,eBook,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/94-eBook/5763-7-Step-Guide-to-Prepare-your-Mix-for-Mastering-by-Sara-Carter-Free-eBook?a_aid=688228cd487ff,https://banners.pluginboutique.com/jrgptcz14phfqztzctre3y1jwxj0,4.4,2026-08-17T02:52:58.230073+00:00
Binvert,Noisebud,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/2692-Binvert?a_aid=688228cd487ff,https://banners.pluginboutique.com/eq7ygy2g9g7vo5f1xhlwvzgvzu4b,4.3,2026-07-13T05:27:40.091560+00:00
Evouyn,Noisebud,Metering,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/79-Metering/1509-Evouyn?a_aid=688228cd487ff,https://banners.pluginboutique.com/t0xj1vbzsatgkioufato7qxb70da,4.3,2026-07-13T05:27:40.091560+00:00
Fletchy Muncher,Noisebud,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/2600-Fletchy-Muncher?a_aid=688228cd487ff,https://banners.pluginboutique.com/ded3rf691swxyo8335mwjvwydznc,4.3,2026-07-13T05:27:40.091560+00:00
Frohmager,Ohmforce,Filter,FREE,https://www.pluginboutique.com/product/2-Effects/19-Filter/17484-Frohmager?a_aid=688228cd487ff,https://banners.pluginboutique.com/e60jhwyz7z790yim3wls90ld448r,,2026-08-17T02:52:25.370899+00:00
PSP Chamber,PSP Audioware,Reverb,FREE,https://www.pluginboutique.com/product/2-Effects/17-Reverb/17593-PSP-Chamber?a_aid=688228cd487ff,https://banners.pluginboutique.com/39s4v4fa0vuf3xwjf0u1m86xq5mx,,2026-08-17T02:52:25.370899+00:00
PSP stepDelay,PSP Audioware,Delay,FREE,https://www.pluginboutique.com/product/2-Effects/10-Delay/17590-PSP-stepDelay?a_aid=688228cd487ff,https://banners.pluginboutique.com/fhtfd2jxy3uyoiqt8skqurss4ibc,,2026-08-17T02:52:25.370899+00:00
ChordBloom,Pentacom,Music Theory Tools,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/93-Music-Theory-Tools/15709-ChordBloom?a_aid=688228cd487ff,https://banners.pluginboutique.com/h2b687arafcqjjk6rfjbeoawnpyj,4.3,2026-08-17T02:52:58.230073+00:00
Sonic Atlas,Pitch Innovations,Sampler,FREE,https://www.pluginboutique.com/product/1-Instruments/5-Sampler/16193-Sonic-Atlas?a_aid=688228cd487ff,https://banners.pluginboutique.com/mbqptjr2vqoyrleyczl2y5non20v,4.5,2026-08-17T02:52:41.890415+00:00
Alton Limiter,Platone Studio,Limiter,FREE,https://www.pluginboutique.com/product/2-Effects/9-Limiter/17420-Alton-Limiter?a_aid=688228cd487ff,https://banners.pluginboutique.com/crdbtlj1b1bj0vrcbm3wbpouum0l,,2026-08-17T02:52:25.370899+00:00
Flex Reverb,Platone Studio,Reverb,FREE,https://www.pluginboutique.com/product/2-Effects/17-Reverb/17415-Flex-Reverb?a_aid=688228cd487ff,https://banners.pluginboutique.com/de43qain6xuur04vlfmfqlxsxjdi,,2026-08-17T02:52:25.370899+00:00
Wider 2,Polyverse,Stereo Width,FREE,https://www.pluginboutique.com/product/2-Effects/27-Stereo-Width/11052-Wider-2-?a_aid=688228cd487ff,https://banners.pluginboutique.com/pf480398bkr0a9kfv7xw91nr9xfc,4.6,2026-07-13T05:27:12.628139+00:00
QSynthi,QSynthi,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/15848-QSynthi?a_aid=688228cd487ff,https://banners.pluginboutique.com/g34h52n2x0bcgsb00r4id0wb7vgj,3.7,2026-08-17T02:52:41.890415+00:00
ReCycle 2.5,Reason Studios,Audio Editor,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/48-Audio-Editor/5833-ReCycle-2-5?a_aid=688228cd487ff,https://banners.pluginboutique.com/zrj9q11j6fu0c9cdnplyc1jftagi,4.5,2026-08-17T02:52:58.230073+00:00
RP-PAN,Rob Papen,Stereo Width,FREE,https://www.pluginboutique.com/product/2-Effects/27-Stereo-Width/9152-RP-PAN?a_aid=688228cd487ff,https://banners.pluginboutique.com/hyojagtsdogj0gfces2gjmu5l6ir,4.5,2026-06-01T06:46:46.635046+00:00
Portatron Preset Pack: SonalSampler,Robotic Bean,Synth Presets,FREE,https://www.pluginboutique.com/product/1-Instruments/31-Synth-Presets/13310-Portatron-Preset-Pack-SonalSampler?a_aid=688228cd487ff,https://banners.pluginboutique.com/0oh9mfwjyvf3qcu5i19006twyvat,4.3,2026-08-17T02:52:41.890415+00:00
Car Test,Rocket Powered Sound,Referencing Tools,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/95-Referencing-Tools/9451-Car-Test?a_aid=688228cd487ff,https://banners.pluginboutique.com/4bwea7y3mb5yo1jozcxtvmb70475,4.3,2026-08-17T02:52:58.230073+00:00
rePEDAL,Sampleson,Generator,FREE,https://www.pluginboutique.com/product/1-Instruments/69-Generator/14672-rePEDAL?a_aid=688228cd487ff,https://banners.pluginboutique.com/zop5geik6rcqvr9ccw8yb0og78ns,4.2,2026-08-17T02:52:41.890415+00:00
KorgAtom,Sinevibes,Expansion Packs,FREE,https://www.pluginboutique.com/product/2-Effects/76-Expansion-Packs/17659-KorgAtom?a_aid=688228cd487ff,https://banners.pluginboutique.com/7qhxatbq2oz6ui8hsvu819kno5fg,,2026-08-17T02:52:25.370899+00:00
KorgDrift,Sinevibes,Expansion Packs,FREE,https://www.pluginboutique.com/product/2-Effects/76-Expansion-Packs/17660-KorgDrift?a_aid=688228cd487ff,https://banners.pluginboutique.com/e26h1t421yf8rffjwi8xn53x4e3k,,2026-08-17T02:52:25.370899+00:00
Skew v2,Sinevibes,Delay,FREE,https://www.pluginboutique.com/product/2-Effects/10-Delay/16608-Skew-v2?a_aid=688228cd487ff,https://banners.pluginboutique.com/6yy1q7pqr5jaedbqdqpqco2jqwar,4.7,2026-08-17T02:52:25.370899+00:00
Spoton,Sixth Sample,Vocal Processing,FREE,https://www.pluginboutique.com/product/2-Effects/54-Vocal-Processing/17425-Spoton?a_aid=688228cd487ff,https://banners.pluginboutique.com/usxvcuy1w0nophdr4bpmcofw2y6a,,2026-08-17T02:52:25.370899+00:00
S Pulser,SoliderSound,Tremolo,FREE,https://www.pluginboutique.com/product/2-Effects/40-Tremolo/10850-S-Pulser?a_aid=688228cd487ff,https://banners.pluginboutique.com/wnfig4bgl9jdec9jzebyewwhggdm,4.5,2026-07-13T05:27:12.628139+00:00
Air | Music Edition,Sound Particles,Multi-Effect,FREE,https://www.pluginboutique.com/product/2-Effects/53-Multi-Effect-/10039-Air-Music-Edition?a_aid=688228cd487ff,https://banners.pluginboutique.com/8mgp5ywlw9hsqh5ckefohvq5ci7h,4.5,2026-07-06T06:19:35.988445+00:00
All You Need to Know About 3D Audio - Free eBook,Sound Particles,eBook,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/94-eBook/7194-All-You-Need-to-Know-About-3D-Audio-Free-eBook?a_aid=688228cd487ff,https://banners.pluginboutique.com/3f73wz13pfgi8f1imrygkpngig9l,4.2,2026-08-17T02:52:58.230073+00:00
FlowFilter,Stagecraft Software,Filter,FREE,https://www.pluginboutique.com/product/2-Effects/19-Filter/17591-FlowFilter?a_aid=688228cd487ff,https://banners.pluginboutique.com/fny2mtjo7c6d8o6lo89h9yj42o0u,,2026-08-17T02:52:25.370899+00:00
RingMod,Stagecraft Software,Modulator,FREE,https://www.pluginboutique.com/product/2-Effects/33-Modulator/17666-RingMod?a_aid=688228cd487ff,https://banners.pluginboutique.com/7yzf0dfdns1h6fhwtggu310zv2sc,,2026-08-17T02:52:25.370899+00:00
Dorico SE 6,Steinberg,DAW,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/23-DAW/14821-Dorico-SE-6?a_aid=688228cd487ff,https://banners.pluginboutique.com/oom0lvb7hnrp2k5f5ho3qomkdtys,4.7,2026-08-17T02:52:58.230073+00:00
LoFi Piano,Steinberg,Virtual Instruments,FREE,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/14145-LoFi-Piano?a_aid=688228cd487ff,https://banners.pluginboutique.com/95ltuak085u0ur8funlem7e81026,4.4,2026-08-17T02:52:41.890415+00:00
Taped Vibes,Steinberg,Virtual Instruments,FREE,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/14146-Taped-Vibes?a_aid=688228cd487ff,https://banners.pluginboutique.com/j6hd18mf0f6o70sgzc2dmgq27gwm,4.4,2026-08-17T02:52:41.890415+00:00
X-Stream,Steinberg,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/14149-X-Stream?a_aid=688228cd487ff,https://banners.pluginboutique.com/1nnwbt6rvbdougk3s3togeskkkfw,4.3,2026-08-17T02:52:41.890415+00:00
Surge XT,Surge XT,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/17453-Surge-XT?a_aid=688228cd487ff,https://banners.pluginboutique.com/yilgt4ym5i1oimmpbtynwgbjdzoj,4.4,2026-08-17T02:52:41.890415+00:00
GSat+,TBProAudio,Saturation,FREE,https://www.pluginboutique.com/product/2-Effects/44-Saturation/15889-GSat-?a_aid=688228cd487ff,https://banners.pluginboutique.com/nphthbab9a5wln5ym3ybues1ea6f,4.5,2026-08-17T02:52:25.370899+00:00
ISOL8,TBProAudio,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/15892-ISOL8?a_aid=688228cd487ff,https://banners.pluginboutique.com/50r6snd9k421a7xnjokx1scq02ml,4.4,2026-08-17T02:52:58.230073+00:00
TBPA Volume,TBProAudio,Gain,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/47-Gain/15888-TBPA-Volume?a_aid=688228cd487ff,https://banners.pluginboutique.com/5byg1ic4xf1k55roozssoxybg27b,4.4,2026-08-17T02:52:58.230073+00:00
dpMeter5,TBProAudio,Metering,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/79-Metering/15891-dpMeter5?a_aid=688228cd487ff,https://banners.pluginboutique.com/vp0zogi70i65bdpc4z5yqswyw9jd,4.7,2026-08-17T02:52:58.230073+00:00
mvMeter2,TBProAudio,Metering,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/79-Metering/15893-mvMeter2?a_aid=688228cd487ff,https://banners.pluginboutique.com/2h4hwnvk1fc7cnns5nfq7ltn9521,4.6,2026-08-17T02:52:58.230073+00:00
sTiltV2,TBProAudio,EQ,FREE,https://www.pluginboutique.com/product/2-Effects/16-EQ/15890-sTiltV2?a_aid=688228cd487ff,https://banners.pluginboutique.com/5mnjqe8644n81e6h2172hiu630sb,4.4,2026-08-17T02:52:25.370899+00:00
T-De-Esser 2,Techivation,De-Esser,FREE,https://www.pluginboutique.com/product/2-Effects/59-De-Esser/16688-T-De-Esser-2?a_aid=688228cd487ff,https://banners.pluginboutique.com/q9ypj5fz5z6bgn5ndvi97hvic8ys,4.3,2026-08-17T02:52:25.370899+00:00
Instant,Terminal VST,Generator,FREE,https://www.pluginboutique.com/product/1-Instruments/69-Generator/17618-Instant?a_aid=688228cd487ff,https://banners.pluginboutique.com/admavt35jf1tfd6unm24txsvf2eq,,2026-08-17T02:52:41.890415+00:00
TheChorus,TheZhe,Chorus,FREE,https://www.pluginboutique.com/product/2-Effects/11-Chorus/9061-TheChorus?a_aid=688228cd487ff,https://banners.pluginboutique.com/p8v5etff9jatdlzlr7gyij9r2df2,4.4,2026-06-01T06:46:46.635046+00:00
TheExpressor,TheZhe,Compressor,FREE,https://www.pluginboutique.com/product/2-Effects/8-Compressor/9062-TheExpressor?a_aid=688228cd487ff,https://banners.pluginboutique.com/td97kcfpq9zsi2bbq3sljbsviken,4.4,2026-06-01T06:46:46.635046+00:00
TheSplit,TheZhe,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/9063-TheSplit?a_aid=688228cd487ff,https://banners.pluginboutique.com/j1tk3k7irqlcj8dz339sl9gyow1j,4.3,2026-08-17T02:52:58.230073+00:00
TheUtility,TheZhe,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/9064-TheUtility?a_aid=688228cd487ff,https://banners.pluginboutique.com/0ozwy4eoqllp0rn9pe89pgwlj783,4.2,2026-08-17T02:52:58.230073+00:00
Attracktive,Tracktion,Sampler,FREE,https://www.pluginboutique.com/product/1-Instruments/5-Sampler/14445-Attracktive?a_aid=688228cd487ff,https://banners.pluginboutique.com/q4lxne9ot5b499abu35qs2mm9jxs,4.5,2026-08-17T02:52:41.890415+00:00
Dawesome Zyklop,Tracktion,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/14139-Dawesome-Zyklop?a_aid=688228cd487ff,https://banners.pluginboutique.com/ll9iy03qj9jb3ojmek5nedsgcnu0,4.6,2026-08-17T02:52:41.890415+00:00
Waveform Free,Tracktion,DAW,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/23-DAW/14399-Waveform-Free?a_aid=688228cd487ff,https://banners.pluginboutique.com/55fumho3m4evadixzpj4sukcj6rz,4.4,2026-08-17T02:52:58.230073+00:00
Tritik Tymee,Tritik,Delay,FREE,https://www.pluginboutique.com/product/2-Effects/10-Delay/17612-Tritik-Tymee?a_aid=688228cd487ff,https://banners.pluginboutique.com/en9ri0qn95rbvowelyhpuwiec1t8,3.8,2026-08-17T02:52:25.370899+00:00
Envosound,Tsuga Audio,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/16642-Envosound?a_aid=688228cd487ff,https://banners.pluginboutique.com/60m1bem3xwbe0l3yxdox3ah2r97k,3.9,2026-08-17T02:52:41.890415+00:00
GENOME Intro+,Two Notes Audio Engineering,Amp Simulator,FREE,https://www.pluginboutique.com/product/2-Effects/18-Amp-Simulator/17433-GENOME-Intro-?a_aid=688228cd487ff,https://banners.pluginboutique.com/t767xu2mm7p0zed4jkggsdpf8co4,4.5,2026-08-17T02:52:25.370899+00:00
BEAUTYFLUTE Pro,UJAM,Virtual Instruments,FREE,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/17090-BEAUTYFLUTE-Pro?a_aid=688228cd487ff,https://banners.pluginboutique.com/4tof7qc517cc1ji8pfedgnf8cejk,4.4,2026-08-17T02:52:41.890415+00:00
Noctua,UVI,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/15527-Noctua?a_aid=688228cd487ff,https://banners.pluginboutique.com/xp2r0c07zptcwkprtpv0b6019pli,4.7,2026-08-17T02:52:41.890415+00:00
TrapTune Core,United Plugins,Vocal Processing,FREE,https://www.pluginboutique.com/product/2-Effects/54-Vocal-Processing/17464-TrapTune-Core?a_aid=688228cd487ff,https://banners.pluginboutique.com/fzxngmwloy71f6qvquj4k18ji26y,4.4,2026-08-17T02:52:25.370899+00:00
UAD Explore Bundle,Universal Audio,Free Bundles,FREE,https://www.pluginboutique.com/product/81-Bundles/141-Free-Bundles/17253-UAD-Explore-Bundle?a_aid=688228cd487ff,https://banners.pluginboutique.com/n24i513kszc9ma3jtkehhtxokqd3,4.6,2026-08-17T02:53:12.157672+00:00
CRMBL,UnplugRed,Delay,FREE,https://www.pluginboutique.com/product/2-Effects/10-Delay/16534-CRMBL?a_aid=688228cd487ff,https://banners.pluginboutique.com/pchxawrjw5h9ptwmfx0dwzup85r8,4.2,2026-08-17T02:52:25.370899+00:00
Diet Audio,UnplugRed,Gate,FREE,https://www.pluginboutique.com/product/2-Effects/20-Gate/16535-Diet-Audio?a_aid=688228cd487ff,https://banners.pluginboutique.com/gu1yqqgktbshvgquz7mxqvxnau80,4.2,2026-08-17T02:52:25.370899+00:00
Magic Carpet,UnplugRed,Delay,FREE,https://www.pluginboutique.com/product/2-Effects/10-Delay/16536-Magic-Carpet?a_aid=688228cd487ff,https://banners.pluginboutique.com/2nnxldalv2ftw2ajofmuz58pmoi2,4.6,2026-08-17T02:52:25.370899+00:00
ModMan,UnplugRed,Modulator,FREE,https://www.pluginboutique.com/product/2-Effects/33-Modulator/16537-ModMan?a_aid=688228cd487ff,https://banners.pluginboutique.com/4hx23i51rnv7g09yyj89qx0vnjaj,4.6,2026-08-17T02:52:25.370899+00:00
PNCH,UnplugRed,Gate,FREE,https://www.pluginboutique.com/product/2-Effects/20-Gate/16544-PNCH?a_aid=688228cd487ff,https://banners.pluginboutique.com/5nio9vj6akmtqks56fm2r1o4e0yl,4.5,2026-08-17T02:52:25.370899+00:00
Prisma,UnplugRed,Distortion,FREE,https://www.pluginboutique.com/product/2-Effects/30-Distortion/16545-Prisma?a_aid=688228cd487ff,https://banners.pluginboutique.com/g7n5c89l4tivmhs2z2jhqpj9t43t,4.5,2026-08-17T02:52:25.370899+00:00
Red Bass,UnplugRed,Saturation,FREE,https://www.pluginboutique.com/product/2-Effects/44-Saturation/16546-Red-Bass?a_aid=688228cd487ff,https://banners.pluginboutique.com/ql5b6kduzij2qdc1a6887bwjhoss,4.3,2026-08-17T02:52:25.370899+00:00
SunBurnt,UnplugRed,Reverb,FREE,https://www.pluginboutique.com/product/2-Effects/17-Reverb/16547-SunBurnt?a_aid=688228cd487ff,https://banners.pluginboutique.com/wfcy1mydmqan8k68n63v3nvobdys,4.0,2026-08-17T02:52:25.370899+00:00
Malibu,VZtec,Multi-Effect,FREE,https://www.pluginboutique.com/product/2-Effects/53-Multi-Effect-/12178-Malibu?a_aid=688228cd487ff,https://banners.pluginboutique.com/9vacaxzjyk2r54in5lmaf57jgf7a,4.7,2026-07-20T05:33:11.745988+00:00
Mesa Lite,Venomode,Limiter,FREE,https://www.pluginboutique.com/product/2-Effects/9-Limiter/16308-Mesa-Lite?a_aid=688228cd487ff,https://banners.pluginboutique.com/y9m2nnd8g7x62h9bnnyudkdrywi7,4.5,2026-08-17T02:52:25.370899+00:00
KSHMR Essentials Kick,W. A. Production,Multi-Effect,FREE,https://www.pluginboutique.com/product/2-Effects/53-Multi-Effect-/9328-KSHMR-Essentials-Kick?a_aid=688228cd487ff,https://banners.pluginboutique.com/l6smxmb08nujz6uat2ndzpzi0toj,4.5,2026-06-01T06:46:46.635046+00:00
Outlaw Lite,W. A. Production,Dynamics Processor,FREE,https://www.pluginboutique.com/product/2-Effects/71-Dynamics-Processor/9106-Outlaw-Lite?a_aid=688228cd487ff,https://banners.pluginboutique.com/m3kowvy87px0rm83xqsk3bi6s62w,4.4,2026-05-11T05:52:18.275453+00:00
Puncher 2 Lite,W. A. Production,Transient Shaper,FREE,https://www.pluginboutique.com/product/2-Effects/36-Transient-Shaper/9105-Puncher-2-Lite?a_aid=688228cd487ff,https://banners.pluginboutique.com/rnxtisu354nxuj70gtji1o5z7jol,4.4,2026-05-18T06:05:18.030146+00:00
W.A. Production 12th Anniversary Free Bundle,W. A. Production,Free Bundles,FREE,https://www.pluginboutique.com/product/81-Bundles/141-Free-Bundles/17124-W-A-Production-12th-Anniversary-Free-Bundle?a_aid=688228cd487ff,https://banners.pluginboutique.com/7j7cr1bo91m202ncih253qayxq8k,4.5,2026-08-17T02:53:12.157672+00:00
Magic7,Wave Alchemy,Reverb,FREE,https://www.pluginboutique.com/product/2-Effects/17-Reverb/14032-Magic7?a_aid=688228cd487ff,https://banners.pluginboutique.com/4sxnwoul7p9pgznmqwuf3qoor124,4.8,2026-08-17T02:52:25.370899+00:00
Triaz Player,Wave Alchemy,Drum Machine,FREE,https://www.pluginboutique.com/product/1-Instruments/7-Drum-Machine/13073-Triaz-Player?a_aid=688228cd487ff,https://banners.pluginboutique.com/dnyng4ijdblu70jrmndqnhrhoov0,4.4,2026-08-17T02:52:41.890415+00:00
Flite Play,Wavea,Sampler,FREE,https://www.pluginboutique.com/product/1-Instruments/5-Sampler/13493-Flite-Play?a_aid=688228cd487ff,https://banners.pluginboutique.com/ex7bw4c0vjg0s2butracqb9vae73,4.3,2026-08-17T02:52:41.890415+00:00
Pulse Box,Wavelet Audio,Kontakt Instrument,FREE,https://www.pluginboutique.com/product/1-Instruments/55-Kontakt-Instrument/12191-Pulse-Box?a_aid=688228cd487ff,https://banners.pluginboutique.com/hhes22i7vh485smbvnv35caosrjs,4.5,2026-08-17T02:52:41.890415+00:00
Cassette Transport,Wavesfactory,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/6216-Cassette-Transport?a_aid=688228cd487ff,https://banners.pluginboutique.com/r94yu2sj1rnc3bn52ax5vm2hbxr6,4.5,2026-08-17T02:52:58.230073+00:00
Youlean Loudness Meter,Youlean,Metering,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/79-Metering/4960-Youlean-Loudness-Meter?a_aid=688228cd487ff,https://banners.pluginboutique.com/z5vbfftxk7mn54ev68au6sjbl5bm,4.7,2026-08-17T02:52:58.230073+00:00
Orange Dreams 2 Lite,ZAK Sound,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/13339-Orange-Dreams-2-Lite?a_aid=688228cd487ff,https://banners.pluginboutique.com/zsj2odze749dgdwh5dpoalpa09l5,4.3,2026-08-17T02:52:41.890415+00:00
Audiolens,iZotope,Referencing Tools,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/95-Referencing-Tools/9927-Audiolens?a_aid=688228cd487ff,https://banners.pluginboutique.com/0lgovh2nzixjqarevpuc72d8ltkk,4.4,2026-08-17T02:52:58.230073+00:00
iZotope Ozone EQ,iZotope,EQ,FREE,https://www.pluginboutique.com/product/2-Effects/16-EQ/11504-iZotope-Ozone-EQ?a_aid=688228cd487ff,https://banners.pluginboutique.com/j2vejk3i57loklu8kfeb0crqqqfd,4.6,2026-07-13T05:27:12.628139+00:00
Delirion,igorski,Chorus,FREE,https://www.pluginboutique.com/product/2-Effects/11-Chorus/17448-Delirion?a_aid=688228cd487ff,https://banners.pluginboutique.com/4lz7x8qskug99oaf7jowzp5ar1ye,,2026-08-17T02:52:25.370899+00:00
TyrellN6,u-he,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/17642-TyrellN6?a_aid=688228cd487ff,https://banners.pluginboutique.com/mo90p1a0norinj2h7x1alihyqu01,,2026-08-17T02:52:41.890415+00:00
Zebralette 3,u-he,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/17688-Zebralette-3?a_aid=688228cd487ff,https://banners.pluginboutique.com/r6ktevum5uyozs0e22hxtfv73zgg,,2026-08-17T02:52:41.890415+00:00
